,casting_time,components,description,duration,evocation_level,range,spell_name
237, 1 action," v, s","a frigid beam of blue white light streaks toward a creature withinrange. make a ranged spell attack against the target. on a hit, it takes1d8 cold damage, and its speed is reduced by 10 feet until the start ofyour next turn.the spell's damage increases by 1d8 when you reach 5th level (2d8), 11thlevel (3d8), and 17th level (4d8).", instantaneous,evocation cantrip, 60 feet,ay of frost
238, 1 minute," v, s, m (a prayer wheel and holy water)","you touch a creature and stimulate its natural healing ability. thetarget regains 4d8 + 15 hit points. for the duration of the spell, thetarget regains 1 hit point at the start of each of its turns (10 hitpoints each minute).the target's severed body members (fingers, legs, tails, and so on), ifany, are restored after 2 minutes. if you have the severed part and holdit to the stump, the spell instantaneously causes the limb to knit tothe stump.", 1 hour,7thlevel transmutation, touch,regenerate
239, 1 hour," v, s, m (rare oils and unguents worth at least 1,000 gp,which the spell consumes)","you touch a dead humanoid or a piece of a dead humanoid. provided thatthe creature has been dead no longer than 10 days, the spell forms a newadult body for it and then calls the soul to enter that body.if the target's soul isn't free or willing to do so, the spell fails.the magic fashions a new body for the creature to inhabit, which likelycauses the creature's race to change. the gm rolls a d100 and consultsthe following table to determine what form the creature takes whenrestored to life, or the gm chooses a form.+++| d100    | race                  |+=========+=======================+| 0104   | dragonborn            |+++| 0513   | dwarf, hill           |+++| 1421   | dwarf, mountain       |+++| 2225   | elf, dark             |+++| 2634   | elf, high             |+++| 3542   | elf, wood             |+++| 4346   | gnome, forest         |+++| 4752   | gnome, rock           |+++| 5356   | halfelf              |+++| 5760   | halforc              |+++| 6168   | halfling, lightfoot   |+++| 6976   | halfling, stout       |+++| 7796   | human                 |+++| 9700   | tiefling              |+++the reincarnated creature recalls its former life and experiences. itretains the capabilities it had in its original form, except itexchanges its original race for the new one and changes its racialtraits accordingly.", instantaneous,5thlevel transmutation, touch,reincarnate
240, 1 action," v, s","at your touch, all curses affecting one creature or object end. if theobject is a cursed magic item, its curse remains, but the spell breaksits owner's attunement to the object so it can be removed or discarded.", instantaneous,3rdlevel abjuration, touch,remove curse
241, 1 action," v, s, m (a hemispherical piece of clear crystal and amatching hemispherical piece of gum arabic)","a ref`srdsphere` of shimmering force encloses a creature or object of large sizeor smaller within range. an unwilling creature must make a dexteritysaving throw. on a failed save, the creature is enclosed for theduration.nothingnot physical objects, energy, or other spell effectscan passthrough the barrier, in or out, though a creature in the ref`srdsphere` canbreathe there. the ref`srdsphere` is immune to all damage, and a creature orobject inside can't be damaged by attacks or effects originating fromoutside, nor can a creature inside the ref`srdsphere` damage anything outsideit.the ref`srdsphere` is weightless and just large enough to contain the creatureor object inside. an enclosed creature can use its action to pushagainst the ref`sphere's <srdsphere>` walls and thus roll the ref`srdsphere` at up to half thecreature's speed. similarly, the globe can be picked up and moved byother creatures.a disintegrate spell targeting the globe destroys it without harminganything inside it."," concentration, up to 1 minute",4thlevel evocation, 30 feet,resilient sphere
242, 1 action," v, s, m (a miniature cloak)","you touch one willing creature. once before the spell ends, the targetcan roll a d4 and add the number rolled to one saving throw of itschoice. it can roll the die before or after making the saving throw. thespell then ends."," concentration, up to 1 minute",abjuration cantrip, touch,resistance
243, 1 hour," v, s, m (a diamond worth at least 1,000 gp, which thespell consumes)","you touch a dead creature that has been dead for no more than a century,that didn't die of old age, and that isn't undead. if its soul is freeand willing, the target returns to life with all its hit points.this spell neutralizes any poisons and cures normal diseases afflictingthe creature when it died. it doesn't, however, remove magical diseases,curses, and the like; if such effects aren't removed prior to castingthe spell, they afflict the target on its return to life.this spell closes all mortal wounds and restores any missing body parts.coming back from the dead is an ordeal. the target takes a −4 penalty toall attack rolls, saving throws, and ability checks. every time thetarget finishes a long rest, the penalty is reduced by 1 until itdisappears.casting this spell to restore life to a creature that has been dead forone year or longer taxes you greatly. until you finish a long rest, youcan't cast spells again, and you have disadvantage on all attack rolls,ability checks, and saving throws.", instantaneous,7thlevel necromancy, touch,resurrection
244, 1 action," v, s, m (a lodestone and iron filings)","this spell reverses gravity in a 50 foot radius, 100 foot high ref`srdcylinder`centered on a point within range. all creatures and objects that aren'tsomehow anchored to the ground in the area fall upward and reach the topof the area when you cast this spell. a creature can make a dexteritysaving throw to grab onto a fixed object it can reach, thus avoiding thefall.if some solid object (such as a ceiling) is encountered in this fall,falling objects and creatures strike it just as they would during anormal downward fall. if an object or creature reaches the top of thearea without striking anything, it remains there, oscillating slightly,for the duration.at the end of the duration, affected objects and creatures fall backdown."," concentration, up to 1 minute",7thlevel transmutation, 100 feet,reverse gravity
245, 1 action," v, s, m (diamonds worth 300 gp, which the spellconsumes)","you touch a creature that has died within the last minute. that creaturereturns to life with 1 hit point. this spell can't return to life acreature that has died of old age, nor can it restore any missing bodyparts.", instantaneous,3rdlevel necromancy, touch,revivify
246, 1 action," v, s, m (powdered corn extract and a twisted loop ofparchment)","you touch a length of rope that is up to 60 feet long. one end of therope then rises into the air until the whole rope hangs perpendicular tothe ground. at the upper end of the rope, an invisible entrance opens toan extradimensional space that lasts until the spell ends.the extradimensional space can be reached by climbing to the top of therope. the space can hold as many as eight medium or smaller creatures.the rope can be pulled into the space, making the rope disappear fromview outside the space.attacks and spells can't cross through the entrance into or out of theextradimensional space, but those inside can see out of it as if througha 3 foot by 5 foot window centered on the rope.anything inside the extradimensional space drops out when the spellends.", 1 hour,2ndlevel transmutation, touch,rope trick
247, 1 action," v, s","flame like radiance descends on a creature that you can see withinrange. the target must succeed on a dexterity saving throw or take 1d8radiant damage. the target gains no benefit from cover for this savingthrow.the spell's damage increases by 1d8 when you reach 5th level (2d8), 11thlevel (3d8), and 17th level (4d8).", instantaneous,evocation cantrip, 60 feet,sacred flame
248, 1 bonus action," v, s, m (a small silver mirror)","you ward a creature within range against attack. until the spell ends,any creature who targets the warded creature with an attack or a harmfulspell must first make a wisdom saving throw. on a failed save, thecreature must choose a new target or lose the attack or spell. thisspell doesn't protect the warded creature from area effects, such as theexplosion of a fireball.if the warded creature makes an attack or casts a spell that affects anenemy creature, this spell ends.", 1 minute,1stlevel abjuration, 30 feet,sanctuary
249, 1 action," v, s","you create three rays of fire and hurl them at targets within range. youcan hurl them at one target or several.make a ranged spell attack for each ray. on a hit, the target takes 2d6fire damage.", instantaneous,2ndlevel evocation, 120 feet,scorching ray
250, 10 minutes," v, s, m (a focus worth at least 1,000 gp, such as acrystal ball, a silver mirror, or a font filled with holy water)","you can see and hear a particular creature you choose that is on thesame plane of existence as you. the target must make a wisdom savingthrow, which is modified by how well you know the target and the sort ofphysical connection you have to it. if a target knows you're castingthis spell, it can fail the saving throw voluntarily if it wants to beobserved.+++| knowledge                                   | save modifier   |+=============================================+=================+| secondhand (you have heard of the target)   | +5              |+++| firsthand (you have met the target)         | +0              |+++| familiar (you know the target well)         | −5              |++++++| connection                                          | save modifier   |+=====================================================+=================+| likeness or picture                                 | −2              |+++| possession or garment                               | −4              |+++| body part, lock of hair, bit of nail, or the like   | −10             |+++on a successful save, the target isn't affected, and you can't use thisspell against it again for 24 hours.on a failed save, the spell creates an invisible sensor within 10 feetof the target. you can see and hear through the sensor as if you werethere. the sensor moves with the target, remaining within 10 feet of itfor the duration. a creature that can see invisible objects sees thesensor as a luminous orb about the size of your fist.instead of targeting a creature, you can choose a location you have seenbefore as the target of this spell. when you do, the sensor appears atthat location and doesn't move."," concentration, up to 10 minutes",5thlevel divination, self,scrying
251, 1 action," v, s, m (an exquisite chest, 3 feet by 2 feet by 2 feet,constructed from rare materials worth at least 5,000 gp, and a tinyreplica made from the same materials worth at least 50 gp)","you hide a chest, and all its contents, on the ethereal plane. you musttouch the chest and the miniature replica that serves as a materialcomponent for the spell. the chest can contain up to 12 cubic feet ofnonliving material (3 feet by 2 feet by 2 feet).while the chest remains on the ethereal plane, you can use an action andtouch the replica to recall the chest. it appears in an unoccupied spaceon the ground within 5 feet of you. you can send the chest back to theethereal plane by using an action and touching both the chest and thereplica.after 60 days, there is a cumulative 5 percent chance per day that thespell's effect ends. this effect ends if you cast this spell again, ifthe smaller replica chest is destroyed, or if you choose to end thespell as an action. if the spell ends and the larger chest is on theethereal plane, it is irretrievably lost.", instantaneous,4thlevel conjuration, touch,secret chest
252, 1 action," v, s, m (a pinch of talc and a small sprinkling ofpowdered silver)","for the duration, you see invisible creatures and objects as if theywere visible, and you can see into the ethereal plane. etherealcreatures and objects appear ghostly and translucent.", 1 hour,2ndlevel divination, self,see invisibility
253, 1 action," v, s","this spell allows you to change the appearance of any number ofcreatures that you can see withinrange. you give each target you choose a new, illusory appearance. anunwilling target can make a charisma saving throw, and if it succeeds,it is unaffected by this spell.the spell disguises physical appearance as well as clothing, armor,weapons, and equipment. you can make each creature seem 1 foot shorteror taller and appear thin, fat, or in between. you can't change atarget's body type, so you must choose a form that has the same basicarrangement of limbs. otherwise, the extent of the illusion is up toyou. the spell lasts for the duration, unless you use your action todismiss it sooner.the changes wrought by this spell fail to hold up to physicalinspection. for example, if you use this spell to add a hat to acreature's outfit, objects pass through the hat, and anyone who touchesit would feel nothing or would feel the creature's head and hair. if youuse this spell to appear thinner than you are, the hand of someone whoreaches out to touch you would bump into you while it was seeminglystill in midair.a creature can use its action to inspect a target and make anintelligence (investigation) check against your spell save dc. if itsucceeds, it becomes aware that the target is disguised.", 8 hours,5thlevel illusion, 30 feet,seeming
254, 1 action," v, s, m (a short piece of fine copper wire)","you send a short message of twenty five words or less to a creature withwhich you are familiar. the creature hears the message in its mind,recognizes you as the sender if it knows you, and can answer in a likemanner immediately. the spell enables creatures with intelligence scoresof at least 1 to understand the meaning of your message.you can send the message across any distance and even to other planes ofexistence, but if the target is on a different plane than you, there isa 5 percent chance that the message doesn't arrive.", 1 round,3rdlevel evocation, unlimited,sending
255, 1 action," v, s, m (a powder composed of diamond, emerald, ruby,and sapphire dust worth at least 5,000 gp, which the spell consumes)","by means of this spell, a willing creature or an object can be hiddenaway, safe from detection for the duration. when you cast the spell andtouch the target, it becomes ref`srdinvisible` and can't be targeted bydivination spells or perceived through scrying sensors created bydivination spells.if the target is a creature, it falls into a state of suspendedanimation. time ceases to flow for it, and it doesn't grow older.you can set a condition for the spell to end early. the condition can beanything you choose, but it must occur or be visible within 1 mile ofthe target. examples include ""after 1,000 years"" or ""when the tarrasqueawakens."" this spell also ends if the target takes any damage.", until dispelled,7thlevel transmutation, touch,sequester
256, 1 action," v, s, m (a jade circlet worth at least 1,500 gp, whichyou must place on your head before you cast the spell)","you assume the form of a different creature for the duration. the newform can be of any creature with a challenge rating equal to your levelor lower. the creature can't be a construct or an undead, and you musthave seen the sort of creature at least once. you transform into anaverage example of that creature, one without any class levels or thespellcasting trait.your game statistics are replaced by the statistics of the chosencreature, though you retain your alignment and intelligence, wisdom, andcharisma scores. you also retain all of your skill and saving throwproficiencies, in addition to gaining those of the creature. if thecreature has the same proficiency as you and the bonus listed in itsstatistics is higher than yours, use the creature's bonus in place ofyours. you can't use any legendary actions or lair actions of the newform.you assume the hit points and hit dice of the new form. when you revertto your normal form, you return to the number of hit points you hadbefore you transformed. if you revert as a result of dropping to 0 hitpoints, any excess damage carries over to your normal form. as long asthe excess damage doesn't reduce your normal form to 0 hit points, youaren't knocked ref`srdunconscious`.you retain the benefit of any features from your class, race, or othersource and can use them, provided that your new form is physicallycapable of doing so. you can't use any special senses you have (forexample, darkvision) unless your new form also has that sense. you canonly speak if the creature can normally speak.when you transform, you choose whether your equipment falls to theground, merges into the new form, or is worn by it. worn equipmentfunctions as normal. the gm determines whether it is practical for thenew form to wear a piece of equipment, based on the creature's shape andsize. your equipment doesn't change shape or size to match the new form,and any equipment that the new form can't wear must either fall to theground or merge into your new form. equipment that merges has no effectin that state.during this spell's duration, you can use your action to assume adifferent form following the same restrictions and rules for theoriginal form, with one exception if your new form has more hit pointsthan your current one, your hit points remain at their current value."," concentration, up to 1 hour",9thlevel transmutation, self,shapechange
257, 1 action," v, s, m (a chip of mica)","a sudden loud ringing noise, painfully intense, erupts from a point ofyour choice within range. each creature in a 10 foot radius ref`srdsphere`centered on that point must make a constitution saving throw. a creaturetakes 3d8 thunder damage on a failed save, or half as much damage on asuccessful one. a creature made of inorganic material such as stone,crystal, or metal has disadvantage on this saving throw.a nonmagical object that isn't being worn or carried also takes thedamage if it's in the spell's area.", instantaneous,2ndlevel evocation, 60 feet,shatter
258, 1 bonus action," v, s, m (a small parchment with a bit of holy textwritten on it)","a shimmering field appears and surrounds a creature of your choicewithin range, granting it a +2 bonus to ac for the duration."," concentration, up to 10 minutes",1stlevel abjuration, 60 feet,hield of faith
259," 1 reaction, which you take when you are hit by anattack or targeted by the magic missile spell"," v, s","an invisible barrier of magical force appears and protects you. untilthe start of your next turn, you have a +5 bonus to ac, includingagainst the triggering attack, and you take no damage from magicmissile.", 1 round,1stlevel abjuration, self,shield
260, 1 bonus action," v, s, m (mistletoe, a shamrock leaf, and a club orquarterstaff)","the wood of a club or quarterstaff you are holding is imbued withnature's power. for the duration, you can use your spellcasting abilityinstead of strength for the attack and damage rolls of melee attacksusing that weapon, and the weapon's damage die becomes a d8. the weaponalso becomes magical, if it isn't already. the spell ends if you cast itagain or if you let go of the weapon.", 1 minute,transmutation cantrip, touch,shillelagh
261, 1 action," v, s","lightning springs from your hand to deliver a shock to a creature youtry to touch. make a melee spell attack against the target. you haveadvantage on the attack roll if the target is wearing armor made ofmetal. on a hit, the target takes 1d8 lightning damage, and it can'ttake reactions until the start of its next turn.the spell's damage increases by 1d8 when you reach 5th level (2d8), 11thlevel (3d8), and 17th level (4d8).", instantaneous,evocation cantrip, touch,shocking grasp
262, 1 action," v, s","for the duration, no sound can be created within or pass through a 20foot radius ref`srdsphere` centered on a point you choose within range. anycreature or object entirely inside the ref`srdsphere` is immune to thunderdamage, and creatures are ref`srddeafened` while entirely inside it. casting aspell that includes a verbal component is impossible there."," concentration, up to 10 minutes",2ndlevel illusion (ritual), 120 feet,silence
263, 1 action," v, s, m (a bit of fleece)","you create the image of an object, a creature, or some other visiblephenomenon that is no larger than a 15 foot ref`srdcube`. the image appears at aspot within range and lasts for the duration. the image is purelyvisual; it isn't accompanied by sound, smell, or other sensory effects.you can use your action to cause the image to move to any spot withinrange. as the image changes location, you can alter its appearance sothat its movements appear natural for the image. for example, if youcreate an image of a creature and move it, you can alter the image sothat it appears to be walking.physical interaction with the image reveals it to be an illusion,because things can pass through it. a creature that uses its action toexamine the image can determine that it is an illusion with a successfulintelligence (investigation) check against your spell save dc. if acreature discerns the illusion for what it is, the creature can seethrough the image."," concentration, up to 10 minutes",1stlevel illusion, 60 feet,silent image
264, 12 hours," v, s, m (snow or ice in quantities sufficient to made alife size copy of the duplicated creature; some hair, fingernailclippings, or other piece of that creature's body placed inside the snowor ice; and powdered ruby worth 1,500 gp, sprinkled over the duplicateand consumed by the spell)","you shape an illusory duplicate of one beast or humanoid that is withinrange for the entire casting time of the spell. the duplicate is acreature, partially real and formed from ice or snow, and it can takeactions and otherwise be affected as a normal creature. it appears to bethe same as the original, but it has half the creature's hit pointmaximum and is formed without any equipment. otherwise, the illusionuses all the statistics of the creature it duplicates.the simulacrum is friendly to you and creatures you designate. it obeysyour spoken commands, moving and acting in accordance with your wishesand acting on your turn in combat. the simulacrum lacks the ability tolearn or become more powerful, so it never increases its level or otherabilities, nor can it regain expended spell slots.if the simulacrum is damaged, you can repair it in an alchemicallaboratory, using rare herbs and minerals worth 100 gp per hit point itregains. the simulacrum lasts until it drops to 0 hit points, at whichpoint it reverts to snow and melts instantly.if you cast this spell again, any currently active duplicates youcreated with this spell are instantly destroyed.", until dispelled,7thlevel illusion, touch,simulacrum
265, 1 action," v, s, m (a pinch of fine sand, rose petals, or acricket)","this spell sends creatures into a magical slumber. roll 5d8; the totalis how many hit points of creatures this spell can affect. creatureswithin 20 feet of a point you choose within range are affected inascending order of their current hit points (ignoring unconsciouscreatures).starting with the creature that has the lowest current hit points, eachcreature affected by this spell falls ref`srdunconscious` until the spell ends,the sleeper takes damage, or someone uses an action to shake or slap thesleeper awake. subtract each creature's hit points from the total beforemoving on to the creature with the next lowest hit points. a creature'shit points must be equal to or less than the remaining total for thatcreature to be affected.undead and creatures immune to being ref`srdcharmed` aren't affected by thisspell.", 1 minute,1stlevel enchantment, 90 feet,sleep
266, 1 action," v, s, m (a pinch of dust and a few drops of water)","until the spell ends, freezing rain and sleet fall in a 20 foot tallref`srdcylinder` with a 40 foot radius centered on a point you choose withinrange. the area is heavily obscured, and exposed flames in the area aredoused.the ground in the area is covered with slick ice, making it difficultterrain. when a creature enters the spell's area for the first time on aturn or starts its turn there, it must make a dexterity saving throw. ona failed save, it falls ref`srdprone`.if a creature is concentrating in the spell's area, the creature mustmake a successful constitution saving throw against your spell save dcor lose concentration."," concentration, up to 1 minute",3rdlevel conjuration, 150 feet,sleet storm
267, 1 action," v, s, m (a drop of molasses)","you alter time around up to six creatures of your choice in a 40 footref`srdcube` within range. each target must succeed on a wisdom saving throw orbe affected by this spell for the duration.an affected target's speed is halved, it takes a −2 penalty to ac anddexterity saving throws, and it can't use reactions. on its turn, it canuse either an action or a bonus action, not both. regardless of thecreature's abilities or magic items, it can't make more than one meleeor ranged attack during its turn.if the creature attempts to cast a spell with a casting time of 1action, roll a d20. on an 11 or higher, the spell doesn't take effectuntil the creature's next turn, and the creature must use its action onthat turn to complete the spell. if it can't, the spell is wasted.a creature affected by this spell makes another wisdom saving throw atthe end of its turn. on a successful save, the effect ends for it."," concentration, up to 1 minute",3rdlevel transmutation, 120 feet,slow
268, 1 action," v, s",you touch a living creature that has 0 hit points. the creature becomes stable.this spell has no effect on undead or constructs., instantaneous,necromancy cantrip, touch,pare the dying
269, 1 action," v, s","you gain the ability to comprehend and verbally communicate with beastsfor the duration. the knowledge and awareness of many beasts is limitedby their intelligence, but at minimum, beasts can give you informationabout nearby locations and monsters, including whatever they canperceive or have perceived within the past day. you might be able topersuade a beast to perform a small favor for you, at the gm'sdiscretion.", 10 minutes,1stlevel divination (ritual), self,peak with animals
270, 1 action," v, s, m (burning incense)","you grant the semblance of life and intelligence to a corpse of yourchoice within range, allowing it to answer the questions you pose. thecorpse must still have a mouth and can't be undead. the spell fails ifthe corpse was the target of this spell within the last 10 days.until the spell ends, you can ask the corpse up to five questions. thecorpse knows only what it knew in life, including the languages it knew.answers are usually brief, cryptic, or repetitive, and the corpse isunder no compulsion to offer a truthful answer if you are hostile to itor it recognizes you as an enemy. this spell doesn't return thecreature's soul to its body, only its animating spirit. thus, the corpsecan't learn new information, doesn't comprehend anything that hashappened since it died, and can't speculate about future events.", 10 minutes,3rdlevel necromancy, 10 feet,peak with dead
271, 1 action," v, s, m (a drop of bitumen and a spider)","until the spell ends, one willing creature you touch gains the abilityto move up, down, and across vertical surfaces and upside down alongceilings, while leaving its hands free. the target also gains a climbingspeed equal to its walking speed."," concentration, up to 1 hour",2ndlevel transmutation, touch,spider climb
272, 1 action," v, s, m (seven sharp thorns or seven small twigs, eachsharpened to a point)","the ground in a 20 foot radius centered on a point within range twistsand sprouts hard spikes and thorns. the area becomes difficult terrainfor the duration. when a creature moves into or within the area, ittakes 2d4 piercing damage for every 5 feet it travels.the transformation of the ground is camouflaged to look natural. anycreature that can't see the area at the time the spell is cast must makea wisdom (perception) check against your spell save dc to recognize theterrain as hazardous before entering it."," concentration, up to 10 minutes",2ndlevel transmutation, 150 feet,spike growth
273, 1 action,at higher levels.,"level or higher, the damage increases by 1d8 for each slot level above3rd.", when you cast this spell using a spell slot of 4th,3rdlevel conjuration," self (15 foot radius)  v, s, m (a holy symbol) concentration, up to 10 minutesyou call forth spirits to protect you. they flit around you to adistance of 15 feet for the duration. if you are good or neutral, theirspectral form appears angelic or fey (your choice). if you are evil,they appear fiendish.when you cast this spell, you can designate any number of creatures youcan see to be unaffected by it. an affected creature's speed is halvedin the area, and when the creature enters the area for the first time ona turn or starts its turn there, it must make a wisdom saving throw. ona failed save, the creature takes 3d8 radiant damage (if you are good orneutral) or 3d8 necrotic damage (if you are evil). on a successful save,the creature takes half as much damage.",spirit guardians
274, 1 bonus action ," 1 minuteyou create a floating, spectral weapon within range that lasts for theduration or until you cast this spell again. when you cast the spell,you can make a melee spell attack against a creature within 5 feet ofthe weapon. on a hit, the target takes force damage equal to 1d8 + yourspellcasting ability modifier.as a bonus action on your turn, you can move the weapon up to 20 feetand repeat the attack against a creature within 5 feet of it.the weapon can take whatever form you choose. clerics of deities who areassociated with a particular weapon (as st. cuthbert is known for hismace and thor for his hammer) make this spell's effect resemble thatweapon.",,at higher levels.,2ndlevel evocation," 60 feet  v, s",spiritual weapon
275, 1 action," v, s, m (a rotten egg or several skunk cabbage leaves)","you create a 20 foot radius ref`srdsphere` of yellow, nauseating gas centered ona point within range. the cloud spreads around corners, and its area isheavily obscured. the cloud lingers in the air for the duration.each creature that is completely within the cloud at the start of itsturn must make a constitution saving throw against poison. on a failedsave, the creature spends its action that turn retching and reeling.creatures that don't need to breathe or are immune to poisonautomatically succeed on this saving throw.a moderate wind (at least 10 miles per hour) disperses the cloud after 4rounds. a strong wind (at least 20 miles per hour) disperses it after 1round."," concentration, up to 1 minute",3rdlevel conjuration, 90 feet,stinking cloud
276, 1 action," v, s, m (soft clay, which must be worked into roughlythe desired shape of the stone object)","you touch a stone object of medium size or smaller or a section of stoneno more than 5 feet in any dimension and form it into any shape thatsuits your purpose. so, for example, you could shape a large rock into aweapon, idol, or coffer, or make a small passage through a wall, as longas the wall is less than 5 feet thick. you could also shape a stone dooror its frame to seal the door shut. the object you create can have up totwo hinges and a latch, but finer mechanical detail isn't possible.", instantaneous,4thlevel transmutation, touch,stone shape
277, 1 action," v, s, m (diamond dust worth 100 gp, which the spellconsumes)","this spell turns the flesh of a willing creature you touch as hard asstone. until the spell ends, the target has resistance to nonmagicalbludgeoning, piercing, and slashing damage."," concentration, up to 1 hour",4thlevel abjuration, touch,stoneskin
278, 1 action," v, s","a churning storm cloud forms, centered on a point you can see andspreading to a radius of 360 feet. lightning flashes in the area,thunder booms, and strong winds roar. each creature under the cloud (nomore than 5,000 feet beneath the cloud) when it appears must make aconstitution saving throw. on a failed save, a creature takes 2d6thunder damage and becomes ref`srddeafened` for 5 minutes.each round you maintain concentration on this spell, the storm producesadditional effects on your turn."," concentration, up to 1 minute",9thlevel conjuration, sight,torm of vengeance
279, 1 action," v, m (a snake's tongue and either a bit of honeycomb ora drop of sweet oil)","you suggest a course of activity (limited to a sentence or two) andmagically influence a creature you can see within range that can hearand understand you. creatures that can't be ref`srdcharmed` are immune to thiseffect. the suggestion must be worded in such a manner as to make thecourse of action sound reasonable. asking the creature to stab itself,throw itself onto a spear, immolate itself, or do some other obviouslyharmful act ends the spell.the target must make a wisdom saving throw. on a failed save, it pursuesthe course of action you described to the best of its ability. thesuggested course of action can continue for the entire duration. if thesuggested activity can be completed in a shorter time, the spell endswhen the subject finishes what it was asked to do.you can also specify conditions that will trigger a special activityduring the duration. for example, you might suggest that a knight giveher warhorse to the first beggar she meets. if the condition isn't metbefore the spell expires, the activity isn't performed.if you or any of your companions damage the target, the spell ends."," concentration, up to 8 hours",2ndlevel enchantment, 30 feet,suggestion
280, 1 action," v, s, m (fire and a piece of sunstone)","brilliant sunlight flashes in a 60 foot radius centered on a point youchoose within range. each creature in that light must make aconstitution saving throw. on a failed save, a creature takes 12d6radiant damage and is ref`srdblinded` for 1 minute. on a successful save, ittakes half as much damage and isn't ref`srdblinded` by this spell. undead andoozes have disadvantage on this saving throw.a creature ref`srdblinded` by this spell makes another constitution saving throwat the end of each of its turns. on a successful save, it is no longerref`srdblinded`.this spell dispels any darkness in its area that was created by a spell.", instantaneous,8thlevel evocation, 150 feet,sunburst
281, 1 minute," v, s, m (mercury, phosphorus, and powdered diamond andopal with a total value of at least 1,000 gp, which the spell consumes)","when you cast this spell, you inscribe a harmful glyph either on asurface (such as a section of floor, a wall, or a table) or within anobject that can be closed to conceal the glyph (such as a book, ascroll, or a treasure chest). if you choose a surface, the glyph cancover an area of the surface no larger than 10 feet in diameter. if youchoose an object, that object must remain in its place; if the object ismoved more than 10 feet from where you cast this spell, the glyph isbroken, and the spell ends without being triggered.the glyph is nearly invisible, requiring an intelligence (investigation)check against your spell save dc to find it.you decide what triggers the glyph when you cast the spell. for glyphsinscribed on a surface, the most typical triggers include touching orstepping on the glyph, removing another object covering it, approachingwithin a certain distance of it, or manipulating the object that holdsit. for glyphs inscribed within an object, the most common triggers areopening the object, approaching within a certain distance of it, orseeing or reading the glyph.you can further refine the trigger so the spell is activated only undercertain circumstances or according to a creature's physicalcharacteristics (such as height or weight), or physical kind (forexample, the ward could be set to affect hags or shapechangers). you canalso specify creatures that don't trigger the glyph, such as those whosay a certain password.when you inscribe the glyph, choose one of the options below for itseffect. once triggered, the glyph glows, filling a 60 foot radius ref`srdsphere`with dim light for 10 minutes, after which time the spell ends. eachcreature in the ref`srdsphere` when the glyph activates is targeted by itseffect, as is a creature that enters the ref`srdsphere` for the first time on aturn or ends its turn there.", until dispelled or triggered,7thlevel abjuration, touch,symbol
282, 1 action," v, s","you gain the ability to move or manipulate creatures or objects bythought. when you cast the spell, and as your action each round for theduration, you can exert your will on one creature or object that you cansee within range, causing the appropriate effect below. you can affectthe same target round after round, or choose a new one at any time. ifyou switch targets, the prior target is no longer affected by the spell.\"," concentration, up to 10 minutes",5thlevel transmutation, 60 feet,telekinesis
283, 1 action," v, s, m (pieces of eggshell from two different kinds ofcreatures)","you forge a telepathic link among up to eight willing creatures of yourchoice within range, psychically linking each creature to all the othersfor the duration. creatures with intelligence scores of 2 or less aren'taffected by this spell.until the spell ends, the targets can communicate telepathically throughthe bond whether or not they have a common language. the communicationis possible over any distance, though it can't extend to other planes ofexistence.", 1 hour,5thlevel divination (ritual), 30 feet,telepathic bond
284, 1 action, v,"this spell instantly transports you and up to eight willing creatures ofyour choice that you can see within range, or a single object that youcan see within range, to a destination you select. if you target anobject, it must be able to fit entirely inside a 10 foot ref`srdcube`, and itcan't be held or carried by an unwilling creature.the destination you choose must be known to you, and it must be on thesame plane of existence as you. your familiarity with the destinationdetermines whether you arrive there successfully. the gm rolls d100 andconsults the table.", instantaneous,7thlevel conjuration, 10 feet,teleport
285, 1 minute," v, m (rare chalks and inks infused with precious gemswith 50 gp, which the spell consumes)","as you cast the spell, you draw a 10 foot diameter circle on the groundinscribed with sigils that link your location to a permanentteleportation circle of your choice whose sigil sequence you know andthat is on the same plane of existence as you. a shimmering portal openswithin the circle you drew and remains open until the end of your nextturn. any creature that enters the portal instantly appears within 5feet of the destination circle or in the nearest unoccupied space ifthat space is occupied.many major temples, guilds, and other important places have permanentteleportation circles inscribed somewhere within their confines. eachsuch circle includes a unique sigil sequencea string of magical runesarranged in a particular pattern. when you first gain the ability tocast this spell, you learn the sigil sequences for two destinations onthe material plane, determined by the gm. you can learn additional sigilsequences during your adventures. you can commit a new sigil sequence tomemory after studying it for 1 minute.you can create a permanent teleportation circle by casting this spell inthe same location every day for one year. you need not use the circle toteleport when you cast the spell in this way.", 1 round,5thlevel conjuration, 10 feet,teleportation circle
286, 1 action, v,"you manifest a minor wonder, a sign of supernatural power, within range.you create one of the following magical effects within range  your voice booms up to three times as loud as normal for 1 minute.  you cause flames to flicker, brighten, dim, or change color for 1   minute.  you cause harmless tremors in the ground for 1 minute.  you create an instantaneous sound that originates from a point of   your choice within range, such as a rumble of thunder, the cry of a   raven, or ominous whispers.  you instantaneously cause an unlocked door or window to fly open or   slam shut.  you alter the appearance of your eyes for 1 minute. if you cast this   spell multiple times, you can have up to three of its 1 minute   effects active at a time, and you can dismiss such an effect as an   action.", up to 1 minute,transmutation cantrip, 30 feet,thaumaturgy
